Pais;Región;PCR   (+);PRUEBA RÁPIDA (+);TOTAL CASOS (+);FALLECIDOS;;
PERÚ;LIMA METROPOLITANA;95153;167705;262858;10933;;
PERÚ;CALLAO;6686;19130;25816;1512;;
PERÚ;LA LIBERTAD;3139;17449;20588;1987;;
PERÚ;AREQUIPA;4123;23938;28061;1068;;
PERÚ;MOQUEGUA;387;7289;7676;200;;
PERÚ;CUSCO;4523;6699;11222;254;;
PERÚ;LAMBAYEQUE;2307;18625;20932;1568;;
PERÚ;PIURA;984;24985;25969;1778;;
PERÚ;AMAZONAS;993;8289;9282;188;;
PERÚ;ICA;2839;15244;18083;1411;;
PERÚ;JUNIN;1985;11046;13031;586;;
PERÚ;ANCASH;3180;13446;16626;1124;;
PERÚ;CAJAMARCA;2475;10118;12593;366;;
PERÚ;HUANUCO;1174;9493;10667;309;;
PERÚ;APURIMAC;249;1896;2145;58;;
PERÚ;PUNO;548;6427;6975;189;;
PERÚ;TACNA;1297;5356;6653;119;;
PERÚ;LORETO;3128;10974;14102;915;;
PERÚ;SAN MARTIN;2231;9860;12091;649;;
PERÚ;AYACUCHO;1958;4936;6894;245;;
PERÚ;HUANCAVELICA;654;3340;3994;65;;
PERÚ;PASCO;227;3138;3365;78;;
PERÚ;TUMBES;648;4757;5405;268;;
PERÚ;UCAYALI;990;11769;12759;288;;
PERÚ;MADRE DE DIOS;867;4291;5158;128;;
PERÚ;LIMA REGIÓN;5246;17045;22291;1167;;
