NOMBPROV,;casos confirmados;;;
ABANCAY;693;;;
ACOBAMBA;505;;;
ACOMAYO;66;;;
AIJA;63;;;
ALTO AMAZONAS;2579;;;
AMBO;169;;;
ANDAHUAYLAS;342;;;
ANGARAES;261;;;
ANTA;592;;;
ANTABAMBA;69;;;
ANTONIO RAYMONDI;63;;;
AREQUIPA;30282;;;
ASCOPE;1035;;;
ASUNCION;7;;;
ATALAYA;1593;;;
AYABACA;791;;;
AYMARAES;96;;;
AZANGARO;55;;;
BAGUA;175;;;
BARRANCA;2174;;;
BELLAVISTA;1034;;;
BOLIVAR;18;;;
BOLOGNESI;129;;;
BONGARA;15;;;
CAJABAMBA;238;;;
CAJAMARCA;3357;;;
CAJATAMBO;21;;;
CALCA;360;;;
CALLAO;19966;;;
CAMANA;327;;;
CANAS;140;;;
CANCHIS;663;;;
CANDARAVE;4;;;
CANGALLO;112;;;
CANTA;238;;;
CAÑETE;5265;;;
CARABAYA;64;;;
CARAVELI;270;;;
CARHUAZ;145;;;
CARLOS FERMIN FITZCARRALD;12;;;
CASMA;955;;;
CASTILLA;162;;;
CASTROVIRREYNA;119;;;
CAYLLOMA;568;;;
CELENDIN;181;;;
CHACHAPOYAS;8;;;
CHANCHAMAYO;1415;;;
CHEPEN;2138;;;
CHICLAYO;10848;;;
CHINCHA;4359;;;
CHINCHEROS;140;;;
CHOTA;462;;;
CHUCUITO;157;;;
CHUMBIVILCAS;229;;;
CHUPACA;527;;;
CHURCAMPA;125;;;
CONCEPCION;160;;;
CONDESUYOS;91;;;
CONTRALMIRANTE VILLAR;217;;;
CONTUMAZA;84;;;
CORONEL PORTILLO;14679;;;
CORONGO;40;;;
COTABAMBAS;90;;;
CUSCO;3154;;;
CUTERVO;290;;;
DANIEL ALCIDES CARRION;135;;;
DATEM DEL MARAÑON;2195;;;
DOS DE MAYO;105;;;
EL COLLAO;88;;;
EL DORADO;597;;;
ESPINAR;101;;;
FERREÑAFE;1533;;;
GENERAL SANCHEZ CERRO;304;;;
GRAN CHIMU;200;;;
GRAU;78;;;
HUACAYBAMBA;9;;;
HUALGAYOC;314;;;
HUALLAGA;499;;;
HUAMALIES;254;;;
HUAMANGA;3126;;;
HUANCA SANCOS;19;;;
HUANCABAMBA;1009;;;
HUANCANE;42;;;
HUANCAVELICA;870;;;
HUANCAYO;6133;;;
HUANTA;188;;;
HUANUCO;5112;;;
HUARAL;2721;;;
HUARAZ;3402;;;
HUARI;173;;;
HUARMEY;446;;;
HUAROCHIRI;349;;;
HUAURA;3181;;;
HUAYLAS;582;;;
HUAYTARA;188;;;
ICA;5608;;;
ILO;1648;;;
ISLAY;616;;;
JAEN;3756;;;
JAUJA;268;;;
JORGE BASADRE;34;;;
JULCAN;57;;;
JUNIN;193;;;
LA CONVENCION;1212;;;
LA MAR;125;;;
LA UNION;21;;;
LAMAS;900;;;
LAMBAYEQUE;3401;;;
LAMPA;33;;;
LAURICOCHA;30;;;
LEONCIO PRADO;2093;;;
LIMA;260;;;
LORETO;3291;;;
LUCANAS;218;;;
LUYA;5;;;
MANU;87;;;
MARAÑON;54;;;
MARISCAL CACERES;1041;;;
MARISCAL LUZURIAGA;51;;;
MARISCAL NIETO;2134;;;
MARISCAL RAMON CASTILLA;1815;;;
MAYNAS;17832;;;
MELGAR;83;;;
MOHO;7;;;
MORROPON;3105;;;
MOYOBAMBA;1628;;;
NAZCA;1557;;;
OCROS;59;;;
OTUZCO;376;;;
OXAPAMPA;777;;;
OYON;167;;;
PACASMAYO;1205;;;
PACHITEA;153;;;
PADRE ABAD;1112;;;
PAITA;2695;;;
PALLASCA;40;;;
PALPA;723;;;
PARINACOCHAS;172;;;
PARURO;20;;;
PASCO;1802;;;
PATAZ;915;;;
PAUCAR DEL SARA SARA;10;;;
PAUCARTAMBO;24;;;
PICOTA;449;;;
PISCO;4549;;;
PIURA;14521;;;
POMABAMBA;122;;;
PUERTO INCA;617;;;
PUNO;490;;;
PUIRA;3;;;
PURUS;11;;;
QUISPICANCHI;180;;;
RECUAY;99;;;
REQUENA;622;;;
RIOJA;912;;;
RODRIGUEZ DE MENDOZA;4;;;
SAN ANTONIO DE PUTINA;18;;;
SAN IGNACIO;431;;;
SAN MARCOS;98;;;
SAN MARTIN;5320;;;
SAN MIGUEL;181;;;
SAN PABLO;51;;;
SAN ROMAN;1299;;;
SANCHEZ CARRION;613;;;
SANDIA;63;;;
SANTA;12799;;;
SANTA CRUZ;124;;;
SANTIAGO DE CHUCO;313;;;
SATIPO;871;;;
SECHURA;1167;;;
SIHUAS;88;;;
SUCRE;16;;;
SULLANA;6758;;;
TACNA;2253;;;
TAHUAMANU;503;;;
TALARA;3042;;;
TAMBOPATA;3585;;;
TARATA;3;;;
TARMA;871;;;
TAYACAJA;323;;;
TOCACHE;1039;;;
TRUJILLO;14014;;;
TUMBES;4353;;;
UCAYALI;827;;;
URUBAMBA;103;;;
UTCUBAMBA;47;;;
VICTOR FAJARDO;3;;;
VICTOR FAFARDO;72;;;
VILCAS HUAMAN;18;;;
VIRU;1182;;;
YAROWILCA;40;;;
YAULI;491;;;
YAUYOS;86;;;
YUNGAY;128;;;
YUNGUYO;38;;;
ZARUMILLA;995;;;
CONDORCANQUI;81;;;
